"",bin,full_add,point,precision
1469,11140006670,"ПАВЛОДАР,ул.Ак.Сатпаева,168",76.94118 52.278338,exact
1522,11240005517,"ПАВЛОДАР,ул.Крупская, д.76, оф.221",76.949112 52.294821,exact
1596,20140005631,"ПАВЛОДАР,ул.Крупская, д.76, оф.200",76.949112 52.294821,exact
1648,20240001975,"ПАВЛОДАР,ул.Торговая, д.6",76.929448 52.309095,exact
1668,20240005932,"ПАВЛОДАР,ул.Ген.Дюсенова, д.145",76.94825 52.276734,exact
1785,20440004961,"ПАВЛОДАР,Торговая,11",76.947091 52.307839,exact
1792,20440006254,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, бут 6.103",76.968264 52.285522,exact
1910,20640004176,"ПАВЛОДАР,Мира,54/3",76.951574 52.299557,number
1921,20640005674,"ПАВЛОДАР,ул. Павлова,д. 30",76.975298 52.290596,exact
1964,20740004209,"ПАВЛОДАР,ул.Ломова, д.145, оф.93",76.974068 52.264335,exact
2006,20840001585,"ПАВЛОДАР,ул.Промышленная зона Северная, стр.28/1",76.928226 52.384316,exact
2008,20840001892,"ПАВЛОДАР,ул. Ленина, д. 143",76.939815 52.278608,exact
2066,20940001192,"ПАВЛОДАР,Камзина,72/1",76.981631 52.280465,exact
2202,21140006008,"ПАВЛОДАР,Торайгырова,62",76.956721 52.297525,exact
2211,21140007125,"ПАВЛОДАР,Камзина,348",76.993929 52.243843,exact
2282,21240007406,"ПАВЛОДАР,ул.Мира,18",76.93641 52.301121,exact
2297,30140000414,"ПАВЛОДАРСКОЕ,ул. Железнодорожная, д. 2Б",76.849193 52.423128,street
2317,30140004229,"ПАВЛОДАР,ул.Торайгырова, д.64",76.958104 52.297756,exact
2363,30240002741,"ПАВЛОДАР,ул. Привокзальная площадь,д. 1",76.970582 52.299546,exact
2471,30440001843,"ПАВЛОДАР,Камзина,171",76.985629 52.262251,exact
2520,30540000904,"ПАВЛОДАР,ул. Лермонтова,96/1",76.958985 52.291499,exact
2581,30640001084,"ПАВЛОДАР,ул. Кудайбергена Сураганова, д. 19, кв. 204",76.972891 52.2933,number
2697,30840004145,"ПАВЛОДАР,ул. Северная промзона,д.нет",76.982853 52.311826,street
2732,30940000097,"ПАВЛОДАР,ул. Ломова,180",77.015471 52.267586,number
2784,30941007228,"ПАВЛОДАР,пром. Зона ул. Центральная,417/1",76.973771 52.305769,exact
2800,31040003130,"ПАВЛОДАР,ул. Северная промзона, стр. 2",76.973349 52.305125,exact
2803,31040003339,"ПАВЛОДАР,Кирова,161/1",76.987569 52.281153,exact
2885,31140005666,"ПАВЛОДАР,Промышленная зона Восточная, стр. 359/1",77.013288 52.240495,street
2896,31140007335,"ПАВЛОДАР,ул. Суворова, д. Целинная",77.019702 52.290959,street
2904,31140010513,"ПАВЛОДАР,ул. Астаны,7/2",76.940722 52.285577,other
3027,40140008937,"ПАВЛОДАР,Камзина,12",76.981209 52.290987,exact
3097,40240021670,"ПАВЛОДАР,Чокина,25",76.946929 52.266842,exact
3098,40240021680,"ПАВЛОДАР,Ткачева,5/3",76.945303 52.25229,exact
3115,40340002886,"ПАВЛОДАР,Украинская д. 39/1",77.007368 52.297464,exact
3148,40340012030,"ПАВЛОДАР,ул. Катаева, д. 53, ТД Восток",76.974517 52.274707,exact
3192,40440007256,"ПАВЛОДАР,Кирова,159",76.987425 52.281511,exact
3240,40540001637,"ПАВЛОДАР,ул. Торайгырова,д. 105",76.96309 52.29698,exact
3272,40540013660,"ПАВЛОДАР,ул.Толстого, д.84",76.969845 52.276282,exact
3304,40640003528,"ПАВЛОДАР,ул.Ломова, д.162/2",76.989411 52.268182,exact
3307,40640005029,"ПАВЛОДАР,ул. Центральная пром. зона,С.1511",76.92899 52.3104,exact
3362,40740002107,"ПАВЛОДАР,ул. Толстого,90",76.975226 52.276497,exact
3368,40740002791,"ПАВЛОДАР,ул. Павлова, д. 32, кв. 106",76.972738 52.290502,exact
3392,40740005994,"ПАВЛОДАР,Ак.Бектурова,79",76.948133 52.287428,exact
3405,40740009471,"ПАВЛОДАР,Центральный промышленный район ул.Космонавтов,1/1",76.949211 52.31394,number
3454,40840004216,"ПАВЛОДАР,Камзина,41/2",76.982943 52.282718,number
3500,40940004448,"ПАВЛОДАР,ул. Исиналиева М., д. 1",76.936832 52.278437,exact
3522,40940009012,"ПАВЛОДАР,ул. Ак. Бектурова,4/1",76.946103 52.299216,exact
3527,40940012489,"ПАВЛОДАР,Астана,219",76.940758 52.270033,exact
3541,41040002332,"ПАВЛОДАР,ул.Каирбекова,дом 34",76.940722 52.285577,other
3560,41040005525,"ПАВЛОДАР,Генерала Дюсенова,106",76.945753 52.278321,exact
3581,41041005481,"ПАВЛОДАР,Торайгырова,48/1",76.939932 52.298533,exact
3659,41240001699,"ПАВЛОДАР,Герцена,92",76.938674 52.274122,exact
3671,41240004782,"ПАВЛОДАР,Естая,77",76.956461 52.280977,exact
3673,41240005007,"ПАВЛОДАР,ул.Космонавтов,д.2",76.945744 52.31459,exact
3696,41240009278,"ПАВЛОДАР,ул. Промышленная зона Северная",76.940722 52.285577,other
3699,41240009614,"ПАВЛОДАР,ул. Ленинградская, д. 79",76.985853 52.290552,exact
3764,50140011867,"ПАВЛОДАР,Академика Чокина,42",76.952697 52.268049,exact
3772,50140013402,"ПАВЛОДАР,ул. Ломова, д. 178",77.002221 52.267631,exact
3774,50140013717,"ПАВЛОДАР,ул. Астана, д. 16",76.936994 52.291852,exact
3803,50240002220,"ПАВЛОДАР,ул. Торговая,1",76.926493 52.308621,exact
3832,50240013017,"ПАВЛОДАР,ул. Исиналиева,д. 45",76.958527 52.279258,exact
3854,50340000039,"ПАВЛОДАР,ул. Естая,28",76.937362 52.280872,exact
3857,50340000455,"ПАВЛОДАР,ул. Кудайбергена Сураганова, д. 19/1",76.97511 52.29303,exact
3864,50340001374,"ПАВЛОДАР,Промышленная зона Восточная,60",77.026969 52.295999,near
3895,50340008857,"ПАВЛОДАР,ул.Химкомбинатовская, д.4",76.925235 52.374025,near
3936,50440001724,"ПАВЛОДАР,Лесозавод проезд 3,1/1 (НОВЫЙ)",76.940722 52.285577,other
3939,50440002544,"ПАВЛОДАР,Ломова,157",76.979538 52.264616,exact
3952,50440005271,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 105",76.942231 52.276106,exact
3995,50540000680,"ПАВЛОДАР,ул. Центральный пром район,0",76.939653 52.285792,other
4045,50540011448,"ПАВЛОДАР,ул. Каирбаева, д. 94",76.959587 52.288359,exact
4078,50640005030,"ПАВЛОДАР,Кирова,157/7",76.989833 52.282569,number
4113,50640011590,"ПАВЛОДАР,ул. Ломова, д. 181/6",76.991845 52.265002,exact
4230,50841006349,"ПАВЛОДАР,ул. Торговая,4",76.93305 52.305741,exact
4276,50940010936,"ПАВЛОДАР,Торайгырова,44/1",76.939851 52.296798,exact
4284,50940021291,"ПАВЛОДАР,Суворова,66",77.006236 52.289687,exact
4326,51040008214,"ПАВЛОДАР,Промышленная зона восточная,272",77.026071 52.231285,near
4416,51240001343,"ПАВЛОДАР,Ак. Сатпаева,196",76.941854 52.274618,exact
4433,51240004992,"ПАВЛОДАР,ул. Естая, д. 61, ТД ""Модный Дом""",76.951744 52.280933,exact
4453,51240008370,"ПАВЛОДАР,ул. Административный городок, д. 8/2",76.993229 52.306567,exact
4545,60240002083,"ПАВЛОДАР,Мира,52/2",76.95249 52.298032,exact
4611,60240021991,"ПАВЛОДАР,Камзина,132/1",76.983572 52.270733,number
4686,60340013815,"ПАВЛОДАР,Академика Чокина,2/1",76.936437 52.268281,exact
4688,60340014070,"ПАВЛОДАР,Иссыккульская,97/5",76.995519 52.288288,number
4692,60340014863,"ПАВЛОДАР,Торговая,4",76.93305 52.305741,exact
4697,60340015950,"ПАВЛОДАР,ул. Суворова, Малая объездная, автомойка",76.98686 52.287594,street
4728,60440003277,"ПАВЛОДАР,1 мая,20/1",76.950945 52.289736,exact
4816,60540010005,"ПАВЛОДАР,Катаева,53",76.974517 52.274707,exact
4895,60640010495,"ПАВЛОДАР,ул. Промышленная зона Восточная",77.08668 52.3326,other
4969,60740010012,"ПАВЛОДАР,Лермонтова,127",76.970196 52.289803,exact
4998,60840006800,"ПАВЛОДАР,ул. Естая,д. 146",76.974571 52.285203,exact
5020,60840012042,"ПАВЛОДАР,Академика Бектурова,109",76.948349 52.282542,exact
5050,60940005965,"ПАВЛОДАР,Промышленная зона Северная,65/1",76.940722 52.285577,other
5077,61040000305,"ПАВЛОДАР,1 мая,20/2",76.951322 52.289367,exact
5129,61040010911,"ПАВЛОДАР,ПРОМЫШЛЕННАЯ ЗОНА ВОСТОЧНАЯ,226",77.013288 52.240495,street
5149,61140000323,"ПАВЛОДАР,ул. Ломова,д. 182/6",77.023771 52.267454,number
5203,61140024330,"ПАВЛОДАР,ул. Муткенова,д. 56",76.997873 52.290601,exact
5237,61240003619,"ПАВЛОДАР,ул. Северная промзона,а/я",76.982853 52.311826,street
5244,61240005407,"ПАВЛОДАР,ул. Лермонтова,45/1",76.942168 52.289979,exact
5290,70140000614,"ПАВЛОДАР,ул.Тауелсiздiк, д.173",76.971804 52.258492,exact
5300,70140002438,"ПАВЛОДАР,Лермонтова,49",76.943642 52.290221,exact
5317,70140006708,"ПАВЛОДАР,Черепанова,10",76.953424 52.300361,exact
5321,70140007706,"ПАВЛОДАР,ул.Ген.Дюсенова, д.4",76.943246 52.297993,exact
5339,70140012594,"ПАВЛОДАР,ул. Академика Сатпаева,д. 65",76.942061 52.281892,exact
5378,70240004349,"ПАВЛОДАР,Промышленная зона Центральная,752",76.907556 52.30741,street
5423,70240017757,"ПАВЛОДАР,ул. Катаева,81",76.975271 52.268937,exact
5577,70440013187,"ПАВЛОДАР,ак.Чокина,36",76.948214 52.26784,exact
5582,70440016290,"ПАВЛОДАР,ул. Нуржанова,д. 4/1",77.012731 52.260796,exact
5588,70441003175,"ПАВЛОДАР,Ак.Сатпаева,56",76.940156 52.28761,near
5622,70540007892,"ПАВЛОДАР,Академика Сатпаева,36",76.939428 52.293394,exact
5663,70640000132,"ПАВЛОДАР,пр.Тауелсiздiк, д.20, н.п.77",76.971417 52.278509,exact
5714,70640013808,"ПАВЛОДАР,ул. Каирбаева, д. 94",76.959587 52.288359,exact
5741,70740003527,"ПАВЛОДАР,ул. Транспортная,д. 24/1",77.033931 52.295911,number
5752,70740007341,"ПАВЛОДАР,площадь Победы,3",76.943183 52.286828,exact
5776,70740012135,"ПАВЛОДАР,ул. Катаева, д. 18, кв., офис 309",76.97307 52.281131,number
5778,70740012289,"ПАВЛОДАР,Кудайбергена Сураганова,21/1",76.974651 52.292265,exact
5785,70740013594,"ПАВЛОДАР,Павлова,38",76.975586 52.28875,exact
5828,70940000619,"ПАВЛОДАР,Центральный  пром район д. а/я 69",76.939653 52.285792,other
5847,70940009315,"ПАВЛОДАР,ул. Торайгырова,д.64",76.958104 52.297756,exact
5866,70940020920,"ПАВЛОДАР,Район Старого Элеватора",76.940722 52.285577,other
5899,71040002239,"ПАВЛОДАР,Катаева,42",76.973942 52.271648,exact
5977,71140005633,"ПАВЛОДАР,Торговая,4",76.93305 52.305741,exact
6028,71140024233,"ПАВЛОДАР,ул. 1 Мая, д. 38",76.950496 52.28258,exact
6087,71240018163,"ПАВЛОДАР,ул. Каирбаева, д. 94",76.959587 52.288359,exact
6097,80140003715,"ПАВЛОДАР,Астана,143",76.939815 52.278608,exact
6112,80140010262,"ПАВЛОДАР,ул.Мира, д.5",76.930427 52.30029,exact
6122,80140013475,"ПАВЛОДАР,ул. Торайгырова, д. 62, оф. 4",76.956721 52.297525,exact
6189,80240015425,"ПАВЛОДАР,ул.Ак.Сатпаева, д.254",76.942222 52.269449,exact
6223,80340001111,"ПАВЛОДАР,Малая объездная,7",76.995403 52.278916,exact
6249,80340008921,"ПАВЛОДАР,ул. Путейская, д. стр. 2",76.952957 52.30133,street
6250,80340009107,"ПАВЛОДАР,ул. Торайгырова,д.64",76.958104 52.297756,exact
6274,80340021156,"ПАВЛОДАР,Ломова,30",76.946462 52.264445,exact
6285,80440000305,"ПАВЛОДАР,Торайгырова,79/1",76.952652 52.296517,exact
6313,80440011152,"ПАВЛОДАР,Центральный пром район,б/н",,none
6319,80440014662,"ПАВЛОДАР,Ломова,184",77.02528 52.267515,exact
6348,80540001753,"ПАВЛОДАР,ул. Академика Сатпаева,д. 73",76.941917 52.280443,exact
6497,80740009994,"ПАВЛОДАР,ул. Северная промзона, стр. 488",76.924642 52.347296,near
6534,80740020405,"ПАВЛОДАР,ул. Ленинградская,68",76.985045 52.291411,exact
6536,80740020688,"ПАВЛОДАР,ул.Транспортная, д.8/19",77.035845 52.288596,number
6538,80741003910,"ПАВЛОДАР,Амангельды,17",76.963584 52.255129,exact
6623,80940009159,"ПАВЛОДАР,Толстого,35",76.948007 52.275158,exact
6629,80940012416,"ПАВЛОДАР,ул.Естая, д.141,кв.51",76.973322 52.285544,exact
6674,81040007476,"ПАВЛОДАР,ул. Промышленная зона Северная",76.940722 52.285577,other
6716,81040019651,"ПАВЛОДАР,П.З. Восточная",77.013288 52.240495,street
6725,81041007039,"ПАВЛОДАР,Торговая,11/9",76.94419 52.30823,exact
6730,81140000783,"ПАВЛОДАР,г.Павлодар промышленная зона Центральная",76.940722 52.285577,other
6761,81140013218,"ПАВЛОДАР,ул. Михаила Исиналиева,1",76.936832 52.278437,exact
6852,81241013794,"ПАВЛОДАР,ул. Академика Бектурова,139",76.949741 52.277643,exact
6880,90140007761,"ПАВЛОДАР,ул.Всеволода Иванова,81",76.997163 52.290579,exact
6927,90240004164,"ПАВЛОДАР,ул.Павлова,93/1",76.979916 52.268171,exact
6946,90240010022,"ПАВЛОДАР,ул. Ак.Чокина,31",76.951843 52.267394,exact
6974,90240020196,"ПАВЛОДАР,Ак. Чокина,38/1",76.95143 52.267978,exact
6984,90241000791,"ПАВЛОДАР,Торговая,4",76.93305 52.305741,exact
7065,90341012530,"ПАВЛОДАР,Академика Сатпаева,302",76.942555 52.265861,exact
7101,90440007126,"ПАВЛОДАР,ул.Павлова, д.34",76.974517 52.290089,exact
7105,90440008134,"ПАВЛОДАР,проспект Тәулесіздік,15",76.940722 52.285577,other
7225,90541018656,"ПАВЛОДАР,Торговая,4",76.93305 52.305741,exact
7340,90740012689,"ПАВЛОДАР,ул. Лермонтова, д. 98, кв. 58 а",76.959946 52.292072,exact
7361,90740019011,"ПАВЛОДАР,ул. Короленко,15/1",76.956344 52.294005,exact
7436,90940003336,"ПАВЛОДАР,Академика Сатпаева,200",76.941809 52.27404,exact
7459,90940009983,"ПАВЛОДАР,Каирбаева,69",76.951151 52.2868,exact
7468,90940014187,"ПАВЛОДАР,ул.Толстого,84",76.969845 52.276282,exact
7548,91040014424,"ПАВЛОДАР,ул. Луначарского, д. 28 В",76.953846 52.277572,exact
7626,91140015723,"ПАВЛОДАР,Административный городок,стр. 19",76.963378 52.310009,exact
7629,91140016711,"ПАВЛОДАР,ул. Кутузова, д. 52, кв. 4",76.968157 52.268832,exact
7645,91240001221,"ПАВЛОДАР,ул.1 мая 15/1 оф.130",76.952571 52.293124,number
7735,100140006528,"ПАВЛОДАР,Естая,136/1",76.960763 52.284409,exact
7748,100140009641,"ПАВЛОДАР,ул. Ген. Дюсенова, д.119",76.946947 52.277947,exact
7838,100240017616,"ПАВЛОДАР,ул.Набережная, д.11/1",76.937785 52.291064,exact
7853,100240022395,"ПАВЛОДАР,Лермонтова,96/2",76.959506 52.29232,exact
7923,100340017134,"ПАВЛОДАР,Торговая,11",76.947091 52.307839,exact
7958,100440000341,"ПАВЛОДАР,Ткачева,16",76.945465 52.256369,exact
7977,100440006836,"ПАВЛОДАР,Ак.Бектурова,71",76.947657 52.289764,exact
8008,100440014242,"ПАВЛОДАР,Максима Горького,29/1",76.94498 52.2707,exact
8038,100441001038,"ПАВЛОДАР,ул. Естая,89",76.97157 52.283688,exact
8077,100540005633,"ПАВЛОДАР,Восточная промышленная зона,901 СК 1 Л.А.",76.940722 52.285577,other
8101,100540014206,"ПАВЛОДАР,ул. Промышленная зона Восточная,д. 1071",76.940722 52.285577,other
8204,100641020209,"ПАВЛОДАР,Маргулана,115",76.943965 52.280035,exact
8248,100740011193,"ПАВЛОДАР,Промышленная Зона Центральная,624",76.907556 52.30741,street
8313,100840007175,"ПАВЛОДАР,Камзина,171",76.985629 52.262251,exact
8356,100940001080,"ПАВЛОДАР,Кирова,159",76.987425 52.281511,exact
8510,101040017710,"ПАВЛОДАР,Камзина,164",76.984263 52.264335,exact
8541,101140006223,"ПАВЛОДАР,ул. Северная промзона, д. 455",76.922971 52.322456,near
8550,101140007509,"ПАВЛОДАР,ул. Торговая д.7",76.942195 52.308489,exact
8583,101140014765,"ПАВЛОДАР,ул. Ленина,д. 119",76.939437 52.284156,exact
8650,101240017420,"ПАВЛОДАР,ул. Циолковского, д. 22/2",76.985243 52.271516,exact
8654,101240018904,"ПАВЛОДАР,Павлова,11",76.975675 52.291725,exact
8710,110140011219,"ПАВЛОДАР,Астана,132",76.938692 52.2816,exact
8759,110240004626,"ПАВЛОДАР,Черепанова,10",76.953424 52.300361,exact
8839,110340002168,"ПАВЛОДАР,Мира,44",76.949705 52.298781,exact
8854,110340006170,"ПАВЛОДАР,ул. Административный городок, д. 8/2",76.993229 52.306567,exact
8956,110440017477,"ПАВЛОДАР,ул. Товарная, д. 19",77.033554 52.299799,exact
8967,110440020348,"ПАВЛОДАР,Лермонтова,91",76.954547 52.290585,exact
8987,110442023373,"ПАВЛОДАР,Торговая,7/4",76.942195 52.308489,number
9018,110540009737,"ПАВЛОДАР,ул. Естая,28",76.937362 52.280872,exact
9063,110541005373,"ПАВЛОДАР,ул. Малая объездная,д. 4",76.986455 52.286095,exact
9146,110740002509,"ПАВЛОДАР,ул. Торайгырова, д. 1/3",76.928119 52.297332,exact
9222,110840005597,"ПАВЛОДАР,ул. Промышленная зона Северная",76.940722 52.285577,other
9258,110840014912,"ПАВЛОДАР,1 Мая,4",76.950855 52.295151,exact
9309,110940004037,"ПАВЛОДАР,ул. 1 Мая, д. 16, ТД Ника, отд. 23",,none
9455,111140000682,"ПАВЛОДАР,Генерала Дюсенова,1",76.944342 52.298401,exact
9465,111140003181,"ПАВЛОДАР,Кирова,161/1",76.987569 52.281153,exact
9504,111140014984,"ПАВЛОДАР,ул. Промышленная зона центральная,573",76.907556 52.30741,street
9540,111240003908,"ПАВЛОДАР,Суворова,11/1",76.995232 52.286927,exact
9699,120140020983,"ПАВЛОДАР,ул. Тауелсiздiк проспект, д. 30",76.965776 52.284823,exact
9789,120240019221,"ПАВЛОДАР,Маяковского",76.942986 52.265713,street
9877,120340021057,"ПАВЛОДАР,ул. Чкалова, д. 96/1",76.992878 52.299028,near
9915,120440008093,"ПАВЛОДАР,ул. Ломова, д. 164/1",76.999139 52.266683,exact
9953,120440020825,"ПАВЛОДАР,ул. Ломова, д. 52 м-н ""Улыбка""",76.990183 52.265564,street
10030,120540018391,"ПАВЛОДАР,Катаева,97",76.976241 52.261893,exact
10038,120540020333,"ПАВЛОДАР,ул. Тауелсыздык проспект,50/1",76.968246 52.269637,exact
10068,120640003703,"ПАВЛОДАР,ул.Крупская, д.76/2",76.948007 52.295079,exact
10081,120640005412,"ПАВЛОДАР,ул.М.Горького, д.27",76.943821 52.271075,exact
10099,120640010419,"ПАВЛОДАР,ул.Ген.Дюсенова, д.8, м-н ""Старый город""",76.944145 52.295603,exact
10121,120640018395,"ПАВЛОДАР,Ак.Чокина,105",76.964626 52.26779,exact
10195,120740013030,"ПАВЛОДАР,ул. Торайгырова, д. 70/5",76.960359 52.298081,number
10268,120840015516,"ПАВЛОДАР,Кутузова,20/1",76.965507 52.288536,exact
10301,120940003378,"ПАВЛОДАР,Торговая,17",76.956236 52.307636,exact
10303,120940003526,"ПАВЛОДАР,Карла Маркса,офис 324",76.940048 52.264335,exact
10347,120940012763,"ПАВЛОДАР,ул. Товарная,25 А",77.040705 52.299563,exact
10413,121040010816,"ПАВЛОДАР,Площадь Победы,3",76.943183 52.286828,exact
10443,121040020147,"ПАВЛОДАР,ул. Циолковского д.61",77.003308 52.272056,near
10446,121040020863,"ПАВЛОДАР,Чкалова,8",76.975981 52.298896,exact
10610,121240014330,"ПАВЛОДАР,ул.М.Исиналиева, д.1., оф.102б",76.936832 52.278437,exact
10616,121240015646,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 105",76.942231 52.276106,exact
10627,121240018383,"ПАВЛОДАР,Центральный пром.район",76.939653 52.285792,other
10678,130140008103,"ПАВЛОДАР,Торайгырова,36",76.937901 52.297161,exact
10689,130140014524,"ПАВЛОДАР,Кутузова,34",76.967285 52.279671,exact
10720,130141009088,"ПАВЛОДАР,Камзина,164",76.984263 52.264335,exact
10852,130241008033,"ПАВЛОДАР,Промышленная зона Восточная,стр.3",76.866764 52.384849,exact
10871,130340003685,"ПАВЛОДАР,ул. Сураганова,19",76.972891 52.2933,number
10999,130440014654,"ПАВЛОДАР,ул.Камзина,171",76.985629 52.262251,exact
11054,130440030656,"ПАВЛОДАР,Павлова,28",76.973888 52.291036,exact
11077,130540001884,"ПАВЛОДАР,ул.Катаева, д.86",76.975631 52.257224,exact
11143,130540017662,"ПАВЛОДАР,ул. Ак. Чокина,д. 42",76.952697 52.268049,exact
11267,130740001861,"ПАВЛОДАР,ул. Торайгырова,д. 113",76.969217 52.298026,exact
11276,130740004826,"ПАВЛОДАР,ул. Малайсары батыра",77.016764 52.290579,street
11281,130740007424,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 20, подьезд 15",76.940722 52.285577,other
11291,130740010305,"ПАВЛОДАР,Промышленная зона центральная,151/1",77.045412 52.205198,near
11304,130740016354,"ПАВЛОДАР,ул.Тауелсiздiк, д.173",76.971804 52.258492,exact
11475,130940009547,"ПАВЛОДАР,ул. Торговая,2/22",76.924813 52.311215,exact
11506,130940020082,"ПАВЛОДАР,Промышленная зона Восточная,1071",76.940722 52.285577,other
11521,130940024779,"ПАВЛОДАР,ул. Привокзальная,д. 1",76.970582 52.299546,exact
11555,131040008975,"ПАВЛОДАР,Ак.Сатпаева,113",76.942267 52.274657,exact
11589,131040019970,"ПАВЛОДАР,ул. Толстого, д. 92, м.н. 4",76.937093 52.275197,near
11602,131040022455,"ПАВЛОДАР,Астана,203",76.940569 52.271406,exact
11604,131040022702,"ПАВЛОДАР,ул. Ломова, д. 60, н.п. 2",76.94215 52.263701,exact
11671,131140010297,"ПАВЛОДАР,ул. Камзина,д. 51",76.983437 52.279517,exact
11735,131140028041,"ПАВЛОДАР,1 мая,16",76.951169 52.292358,exact
11843,131240025190,"ПАВЛОДАР,ул. Генерала Дюсенова, д. 106, кв. 214",76.945753 52.278321,exact
11875,140140007107,"ПАВЛОДАР,ул. Мира, д. 18",76.93641 52.301121,exact
11906,140140013538,"ПАВЛОДАР,Камзина,58/2",76.981802 52.282503,exact
11907,140140013865,"ПАВЛОДАР,Сурганова,19",76.940722 52.285577,other
11990,140240012553,"ПАВЛОДАР,ПРОМЫШЛЕННАЯ ЗОНА ЦЕНТРАЛЬНАЯ,1256",76.940722 52.285577,other
12082,140340006027,"ПАВЛОДАРСКОЕ,Молодежная,9/1",76.865156 52.380529,exact
12091,140340009844,"ПАВЛОДАР,Камзина,67/1",76.9903 52.274932,exact
12156,140340026666,"ПАВЛОДАР,ул. Лесная, д. 1/1",76.999696 52.261182,number
12200,140440009441,"ПАВЛОДАР,Промышленная зона Центральная,строение 440",76.907556 52.30741,street
12215,140440018163,"ПАВЛОДАР,Ак. Чокина,31",76.951843 52.267394,exact
12265,140440032109,"ПАВЛОДАР,ул. Ломова, д. 180/1",77.020007 52.268777,exact
12320,140540008030,"ПАВЛОДАР,Проезд-А,9",76.890848 52.325891,near
12439,140640015473,"ПАВЛОДАР,ул. Ленина, д. 57",76.93871 52.289918,exact
12473,140641002685,"ПАВЛОДАР,Транспортная,30",77.035162 52.296231,near
12498,140740006468,"ПАВЛОДАР,Камзина,67/1, квартира (офис): -",76.9903 52.274932,exact
12562,140740024337,"ПАВЛОДАР,Толстого,57",76.951996 52.275175,exact
12631,140840013395,"ПАВЛОДАР,Луначарского,44/5",76.962551 52.277765,exact
12695,140940005407,"ПАВЛОДАР,ул. Литвинова,д. 14/1",77.012569 52.304464,exact
12797,141040002056,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
12903,141140003018,"ПАВЛОДАР,ул.Камзина, д.171",76.985629 52.262251,exact
13100,150140010941,"ПАВЛОДАР,Российская,6",77.003326 52.297139,exact
13172,150240000383,"ПАВЛОДАР,ул.Красноярская, д.114",76.988953 52.287902,exact
13210,150240011527,"ПАВЛОДАР,ул. Промышленная зона Восточная",77.08668 52.3326,other
13212,150240011953,"ПАВЛОДАР,ул. Камзина, д. 236",76.98535 52.255438,exact
13240,150240017873,"ПАВЛОДАР,ул. Амангельды, д. 50/1",76.992582 52.258051,exact
13266,150240024975,"ПАВЛОДАР,Лермонтова,82",76.950657 52.291169,exact
13267,150240025061,"ПАВЛОДАР,ул.Торайгырова,79/1",76.952652 52.296517,exact
13313,150340003817,"ПАВЛОДАР,1 Мая,15/8",76.952571 52.293124,number
13363,150340020321,"ПАВЛОДАР,каирбаева,36",76.942474 52.28745,exact
13366,150340021904,"ПАВЛОДАР,Толстго,139",76.988827 52.278509,exact
13498,150440028519,"ПАВЛОДАР,ул.Торайгырова, д.95",76.960207 52.296858,exact
13553,150540007480,"ПАВЛОДАР,ул. Центральная промышленная зона, д. 210/1, кв. (офис) 2",76.940722 52.285577,other
13599,150540019800,"ПАВЛОДАР,ПРОМЫШЛЕННАЯ ЗОНА ЦЕНТРАЛЬНАЯ,210/1",76.940722 52.285577,other
